year,ticket_price,tickets_sold,total_revenue,cinema_sites
2001,5.7,1487.3,8.1,6253
2002,5.8,1575.7,9.1,6144
2003,6,1532.3,9.2,6100
2004,6.2,1510.5,9.3,6031
2005,6.4,1379.2,8.8,6114
2006,6.6,1406,9.2,5939
2007,6.9,1404.6,9.6,5928
2008,7.2,1341.3,9.6,5786
2009,7.5,1412.7,10.6,5942
2010,7.9,1339.1,10.6,5773
2011,7.9,1283,10.2,5697
2012,8,1361.5,10.8,5683
2013,8.1,1343.7,10.9,5719
2014,8.2,1268.2,10.4,5856
2015,8.4,1320.2,11.1,5833
2016,8.7,1315.3,11.4,5821
2017,8.9,1239.7,11.1,5747
